7[var1][Pbeg]leq[Pspa][Pbeg]sqrt[Plbb]40[Prbb],7[var1][Pbeg]leq[Pspa][Pbeg]sqrt[Plbb]40[Prbb]
7[var1][Pbeg]geq[Pspa][Pbeg]frac[Plbb]9[Prbb][Plbb]0[Pplu]8[Prbb],7[var1][Pbeg]geq[Pspa][Pbeg]frac[Plbb]9[Prbb][Plbb]0[Pplu]8[Prbb]
[Pbeg]log[Psub][Plbb][var2][Prbb][var1][Pbgr]1[var1],[Pbeg]log[Psub][Plbb][var2][Prbb][var1][Pbgr]1[var1]
[Pbeg]log[Psub][Plbb][var2][Prbb][var1][Pbeg]geq[Pspa][Plbb]1[Prbb][Pexp][Plbb]7[Prbb][Pplu][Plbb]9[Prbb][Pexp][Plbb][var1][Prbb],[Pbeg]log[Psub][Plbb][var2][Prbb][var1][Pbeg]geq[Pspa][Plbb]1[Prbb][Pexp][Plbb]7[Prbb][Pplu][Plbb]9[Prbb][Pexp][Pexp][Plbb][var1][Prbb]
[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Pbeg]leq[Pspa][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Pbeg]sin[Plbb]8[Prbb][Prsb],[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Pbeg]leq[Pspa][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Pbeg]sin[Plbb]0[Prbb][Prsb]
[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Peql][Pbeg]tan[Plbb]8[Prbb],[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Peql][Pbeg]tan[Plbb]8[Prbb]
[Pbeg]frac[Plbb][var2][Prbb][Plbb][var1][Prbb][Pbeg]geq[Pspa][Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Prbb][var1],[Pbeg]frac[Plbb][var1][Prbb][Plbb]w[Prbb][Pbeg]geq[Pspa][Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Prbb][var1]
16917[Pbgr][Pbeg]frac[Plbb][var2][Prbb][Plbb][var1][Prbb],16917[Pbgr][Pbeg]frac[Plbb][var1][Prbb][Plbb]w[Prbb]
[Pbeg]log[Psub][Plbb]6[Prbb][var1][Pbgr][var1][Pplu][var2],[Pbeg]log[Psub][Plbb]6[Prbb][var1][Pbgr][var1][Pplu][var2]
10669[Pbgr][Pbeg]log[Psub][Plbb]6[Prbb][var1],10669[Pbgr][Pbeg]log[Psub][Plbb]6[Prbb][var1]
19108[Peql]1[Pplu][var1],19108[Peql]1[Pplu][var1]
1133[Peql]1[Pplu][var1],1133[Peql]1[Pplu][var1]
[Pbeg]cos[Plbb][Pbeg]frac[Plbb]8[Prbb][Plbb]1[Prbb][Prbb][Peql][Plbb]9[Prbb][Pexp][Plbb][Pbeg]frac[Plbb]2[Prbb][Plbb][var1][Prbb][Prbb],[Pbeg]cos[Plbb][Pbeg]frac[Plbb]8[Prbb][Plbb]1[Prbb][Prbb][Peql][Plbb]9[Prbb][Pexp][Plbb]2[Prbb]
[Pbeg]cos[Plbb][Pbeg]frac[Plbb]8[Prbb][Plbb]1[Prbb][Prbb][Pbeg]geq[Pspa]18471,[Pbeg]cos[Plbb][Pbeg]frac[Plbb]8[Prbb][Plbb]1[Prbb][Prbb][Pbeg]geq[Pspa]18471
[Plsb]2[Pplu][var2][Prsb][Pmin][var1][Pbeg]leq[Pspa][Pbeg]tan[Plbb][var1][Prbb],[Plsb]2[Pplu][var2][Prsb][Pmin][var1][Pbeg]leq[Pspa][Pbeg]tan[Plbb][var1][Prbb]
15669[Ples][Plsb]2[Pplu][var2][Prsb][Pmin][var1],15669[Ples][Plsb]2[Pplu][var1][Prsb][Pmin][var2]
1955[Pbeg]leq[Pspa][Pbeg]log[Psub][Plbb][var1][Prbb][var2],1955[Pbeg]leq[Pspa][Pbeg]log[Psub][Plbb][var1][Prbb][var2]
[Pbeg]log[Psub][Plbb][var1][Prbb][var2][Ples]3726,[Pbeg]log[Psub][Plbb][var1][Prbb][var2][Ples]3726
